facility_name,zip_code,formatted_zipcode,city,county
Pepper's Senior Dog Sanctuary,80126,80126,Littleton,Douglas
Perfect Pets,80909,80909,Colorado Springs,El Paso
Perfect Unions Animal Rescue Foundation,80126,80126,Littleton,Douglas
"Pet Association Of Estes Park, Inc",80517,80517,Estes Park,Larimer
"Pet Paradise, Inc",80212,80212,Denver,Denver
Pet Project,80215,80215,Denver,Jefferson
"Pet World, Inc",80538,80538,Loveland,Larimer
Pets First Animal Hospital,80126,80126,Littleton,Douglas
"Pets Plus, Llc",80111,80111,Englewood,Arapahoe
Pets R People Too,80112,80112,Englewood,Arapahoe
Petsmart Aurora Animal Shelter,80011,80011,Aurora,Arapahoe
Pikes Peak Parrot Rescue,80905,80905,Colorado Springs,El Paso
Placing Paws,80204,80204,Denver,Denver
"Planned Pethood Plus, Inc",80221,80221,Denver,Adams
Platte Valley Veterinary,80550,80550,Windsor,Weld
Platteville Police Department,80651,80651,Platteville,Weld
Pointerrescue,80107,80107,Elizabeth,Elbert
"Polar Opposite Kennels, Llc",80134,80134,Parker,Douglas
Polaris Alaskan Malamute Rescue,80134,80134,Parker,Douglas
Pound Pitties Dog Rescue,80220,80220,Denver,Denver
Pranadogs Behavior And Rehab Ctr,80524,80524,Fort Collins,Larimer
Prickly Paws Hedgehogs,80108,80108,Castle Rock,Douglas
Prison Trained K - 9 Companion Program,81003,81003,Pueblo,Pueblo
Pueblo Animal Services,81003,81003,Pueblo,Pueblo
"Puppies N Stuff, Llc",80007,80007,Arvada,Jefferson
Puppy Kisses Ranch,80108,80108,Castle Rock,Douglas
Purrendipity,80209,80209,Denver,Denver
Purrfect Pause Cat Cafe,80205,80205,Denver,Denver
Rachel's Forgotten Felines,80014,80014,Aurora,Arapahoe
Rancho Amistad,80134,80134,Parker,Douglas
Rangely Animal Shelter,81648,81648,Rangely,Rio Blanco
Red Fern Animal Rescue,80209,80209,Denver,Denver
Red Hill Animal Health Center,80907,80907,Colorado Springs,El Paso
Reptile And Amphibian Center Of The Rockies,80526,80526,Fort Collins,Larimer
Rescued For Life,80134,80134,Parker,Douglas
Rescuing Unwanted Furry Friends Sanctuary,80209,80209,Denver,Denver
"Retriever Rescue Of Colorado, Inc",80401,80401,Golden,Jefferson
"Rezdawg Rescue, Inc",80026,80026,Lafayette,Boulder
